SPA Эко,5000,4000,3000
18+6,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
8,Массаж с проработкой «Тай + травяные мешочки»,60,1,3600
18+20,Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»,60,1,4000
20+22,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»,60,1,4000
22+6,"Программы для рук и ног «Руки»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
23+6,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
7,"Массаж с проработкой «Спина, Шея, и Плечи»",60,1,3200
22+18,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо»,60,1,4000
24,Программы для рук и ног «Ноги»,60,1,3200
6+18,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо»",60,1,4000
SPA Эко,5000,4000,3000
12,Relax массаж «Тай Оил»,60,1,3600
4,Массаж с проработкой «Восстанавливающий»,60,1,3200
31,SPA - уход «Бархатное прикосновение»,60,1,3600
20+18,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»,60,1,4000
18+19,Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»,60,1,4000
18+22,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»,60,1,4000
19+6,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
23+18,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»,60,1,4000
18+23,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»,60,1,4000
6+23,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Ноги»",60,1,4000
SPA Эко,5000,4000,3000
21,Программы для лица и головы «Лицо и голова»,60,1,3600
19+20,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо и голова»,60,1,4000
19+18,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»,60,1,4000
20+19,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Голова»,60,1,4000
20+23,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Ноги»,60,1,4000
23+22,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»,60,1,4000
20+6,"Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
1,Массаж с проработкой «Традиционный Тайский (Тай)»,60,1,3200
19+22,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»,60,1,4000
10,Массаж с проработкой «Спорт-oil»,60,1,4000
6+22,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Руки»",60,1,4000
SPA Эко,5000,4000,3000
6+19,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Голова»",60,1,4000
23+19,Программы для рук и ног «Ноги»+Программы для лица и головы «Голова»,60,1,4000
19+23,Программы для лица и головы «Голова»+Программы для рук и ног «Ноги»,60,1,4000
22+19,Программы для рук и ног «Руки»+Программы для лица и головы «Голова»,60,1,4000
20+6,"Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
4,Массаж с проработкой «Восстанавливающий»,60,1,3200
22+18,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо»,60,1,4000
18+6,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»",60,1,4000
18+23,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»,60,1,4000
6+22,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Руки»",60,1,4000
SPA Норм,8400,6720,5040
23+31,Программы для рук и ног «Ноги»+SPA - уход «Бархатное прикосновение»,90,1,5600
8+20,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо и голова»,90,1,5600
23+4,Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»,90,1,5200
6+21,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо и голова»",90,1,5600
18+12,Программы для лица и головы «Лицо»+Relax массаж «Тай Оил»,90,1,5600
4+22,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»,90,1,5200
10+18,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо»,90,1,6000
20+4,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»,90,1,5200
6+8,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Тай + травяные мешочки»",90,1,5600
4+20,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо и голова»,90,1,5200
10+6,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,6000
12+23,Relax массаж «Тай Оил»+Программы для рук и ног «Ноги»,90,1,5600
SPA Норм,8400,6720,5040
31+22,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Руки»,90,1,5600
25,Массаж в 4 руки «Тай в 4 руки»,60,1,6400
19+2,Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
